,state_number,consecutive_number,vehicle_number,drivers_vision_obscured_by,drivers_vision_obscured_by_name
0,56,560031,11,0,No Obstruction Noted
1,56,560031,5,0,No Obstruction Noted
2,56,560031,6,0,No Obstruction Noted
3,56,560031,7,0,No Obstruction Noted
4,56,560031,10,0,No Obstruction Noted
5,56,560031,12,0,No Obstruction Noted
6,56,560031,13,0,No Obstruction Noted
7,56,560031,14,0,No Obstruction Noted
8,56,560031,15,0,No Obstruction Noted
9,56,560031,16,0,No Obstruction Noted
10,56,560031,17,0,No Obstruction Noted
11,56,560031,18,0,No Obstruction Noted
12,56,560031,19,0,No Obstruction Noted
13,10,100006,5,0,No Obstruction Noted
14,10,100011,5,0,No Obstruction Noted
15,10,100011,6,0,No Obstruction Noted
16,10,100079,5,0,No Obstruction Noted
17,10,100079,6,0,No Obstruction Noted
18,2,20035,5,0,No Obstruction Noted
19,2,20035,6,0,No Obstruction Noted
20,1,10343,5,0,No Obstruction Noted
21,1,10343,6,0,No Obstruction Noted
22,1,10343,7,0,No Obstruction Noted
23,1,10286,5,0,No Obstruction Noted
24,1,10095,7,0,No Obstruction Noted
25,1,10095,8,0,No Obstruction Noted
26,1,10095,9,0,No Obstruction Noted
27,1,10034,5,0,No Obstruction Noted
28,1,10034,6,0,No Obstruction Noted
29,1,10141,5,0,No Obstruction Noted
30,1,10141,6,0,No Obstruction Noted
31,1,10141,7,0,No Obstruction Noted
32,1,10141,8,0,No Obstruction Noted
33,1,10141,9,0,No Obstruction Noted
34,1,10153,5,0,No Obstruction Noted
35,4,40532,5,0,No Obstruction Noted
36,4,40532,6,0,No Obstruction Noted
37,4,40532,7,0,No Obstruction Noted
38,4,40541,5,0,No Obstruction Noted
39,4,40688,5,0,No Obstruction Noted
40,4,40688,6,0,No Obstruction Noted
41,4,40696,5,0,No Obstruction Noted
42,4,40696,6,0,No Obstruction Noted
43,4,40824,5,0,No Obstruction Noted
44,4,40824,6,0,No Obstruction Noted
45,4,40761,5,0,No Obstruction Noted
46,4,40761,6,0,No Obstruction Noted
47,4,40105,5,0,No Obstruction Noted
48,4,40105,6,0,No Obstruction Noted
49,5,50342,5,0,No Obstruction Noted
50,5,50319,5,0,No Obstruction Noted
51,5,50474,5,0,No Obstruction Noted
52,5,50474,6,0,No Obstruction Noted
53,6,63030,5,0,No Obstruction Noted
54,6,63135,5,0,No Obstruction Noted
55,6,62448,5,0,No Obstruction Noted
56,6,62448,6,0,No Obstruction Noted
57,6,62491,5,0,No Obstruction Noted
58,6,62491,6,0,No Obstruction Noted
59,6,62491,7,0,No Obstruction Noted
60,6,62437,5,0,No Obstruction Noted
61,6,62437,6,0,No Obstruction Noted
62,6,62437,7,0,No Obstruction Noted
63,6,62068,5,0,No Obstruction Noted
64,6,62206,5,0,No Obstruction Noted
65,6,62240,5,0,No Obstruction Noted
66,6,62748,5,0,No Obstruction Noted
67,6,62966,5,0,No Obstruction Noted
68,6,62966,6,0,No Obstruction Noted
69,6,62966,7,0,No Obstruction Noted
70,6,62966,8,0,No Obstruction Noted
71,6,62966,9,0,No Obstruction Noted
72,6,62966,10,0,No Obstruction Noted
73,6,61346,5,0,No Obstruction Noted
74,6,61502,5,0,No Obstruction Noted
75,6,61166,5,0,No Obstruction Noted
76,6,61166,6,0,No Obstruction Noted
77,6,61070,5,0,No Obstruction Noted
78,6,61795,5,0,No Obstruction Noted
79,6,61945,5,0,No Obstruction Noted
80,6,61945,6,0,No Obstruction Noted
81,6,61537,5,0,No Obstruction Noted
82,6,61757,5,0,No Obstruction Noted
83,6,61757,6,0,No Obstruction Noted
84,6,61757,7,0,No Obstruction Noted
85,6,61757,8,0,No Obstruction Noted
86,6,60481,5,0,No Obstruction Noted
87,6,60481,6,0,No Obstruction Noted
88,6,60481,7,0,No Obstruction Noted
89,6,60512,5,0,No Obstruction Noted
90,6,60512,6,0,No Obstruction Noted
91,6,60512,7,0,No Obstruction Noted
92,6,60512,8,0,No Obstruction Noted
93,6,60020,5,0,No Obstruction Noted
94,6,60060,5,0,No Obstruction Noted
95,6,60060,6,0,No Obstruction Noted
96,6,60263,5,0,No Obstruction Noted
97,6,60263,6,0,No Obstruction Noted
98,6,61020,6,0,No Obstruction Noted
99,6,61020,5,0,No Obstruction Noted
100,8,80126,5,0,No Obstruction Noted
101,8,80389,5,0,No Obstruction Noted
102,8,80388,5,0,No Obstruction Noted
103,9,90227,5,0,No Obstruction Noted
104,9,90227,6,0,No Obstruction Noted
105,9,90227,7,0,No Obstruction Noted
106,9,90227,8,0,No Obstruction Noted
107,12,121478,5,0,No Obstruction Noted
108,12,121163,5,0,No Obstruction Noted
109,12,121199,5,0,No Obstruction Noted
110,12,121199,6,0,No Obstruction Noted
111,12,121199,7,0,No Obstruction Noted
112,12,121101,5,0,No Obstruction Noted
113,12,121101,6,0,No Obstruction Noted
114,12,121101,7,0,No Obstruction Noted
115,12,121843,5,0,No Obstruction Noted
116,12,121947,5,0,No Obstruction Noted
117,12,121984,5,0,No Obstruction Noted
118,12,121984,6,0,No Obstruction Noted
119,12,121984,7,0,No Obstruction Noted
120,12,120307,9,0,No Obstruction Noted
121,12,120307,5,0,No Obstruction Noted
122,12,120307,6,0,No Obstruction Noted
123,12,120307,7,0,No Obstruction Noted
124,12,120307,8,0,No Obstruction Noted
125,12,120838,5,0,No Obstruction Noted
126,12,120938,5,0,No Obstruction Noted
127,12,120958,5,0,No Obstruction Noted
128,12,122252,5,0,No Obstruction Noted
129,12,122252,6,0,No Obstruction Noted
130,12,122252,7,0,No Obstruction Noted
131,12,122470,5,0,No Obstruction Noted
132,12,122008,5,0,No Obstruction Noted
133,12,122187,5,0,No Obstruction Noted
134,12,122175,5,0,No Obstruction Noted
135,12,122612,5,0,No Obstruction Noted
136,13,130538,5,0,No Obstruction Noted
137,13,130480,5,0,No Obstruction Noted
138,13,130480,6,0,No Obstruction Noted
139,13,130480,7,0,No Obstruction Noted
140,13,130251,5,0,No Obstruction Noted
141,13,130251,6,0,No Obstruction Noted
142,13,130385,7,0,No Obstruction Noted
143,13,130385,5,0,No Obstruction Noted
144,13,130385,6,0,No Obstruction Noted
145,13,130979,5,0,No Obstruction Noted
146,13,130729,5,0,No Obstruction Noted
147,13,130199,5,0,No Obstruction Noted
148,13,131183,6,0,No Obstruction Noted
149,13,131183,5,0,No Obstruction Noted
150,17,170952,6,0,No Obstruction Noted
151,17,170920,6,0,No Obstruction Noted
152,17,170920,7,0,No Obstruction Noted
